交易日期,公司ID,通路名稱,商店通稱,卡機號碼,支付工具,筆數,金額
2026-02-01,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01950,悠遊卡,10.0,100.0
2026-02-01,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01974,悠遊卡,4.0,40.0
2026-02-01,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01976,悠遊卡,3.0,30.0
2026-02-01,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01977,悠遊卡,2.0,20.0
2026-02-03,1948,希利創新_7-11 科有,科有,TV1Q05751,悠遊卡,4.0,40.0
2026-02-03,1948,希利創新_7-11 科有,科有,TV1Q05791,悠遊卡,1.0,10.0
2026-02-03,1948,希利創新_7-11 科有,科有,TV1Q05791,一卡通,1.0,10.0
2026-02-04,1947,希利創新_7-11 冠亨,冠亨,TV1Q05716,現金,3.0,50.0
2026-02-04,1947,希利創新_7-11 冠亨,冠亨,TV1Q05752,現金,7.0,80.0
2026-02-04,1947,希利創新_7-11 冠亨,冠亨,TV1Q05769,現金,4.0,60.0
2026-02-04,1947,希利創新_7-11 冠亨,冠亨,TV1Q05806,現金,8.0,360.0
2026-02-04,1948,希利創新_7-11 科有,科有,TV1Q05758,現金,1.0,10.0
2026-02-04,1948,希利創新_7-11 科有,科有,TV1Q05760,現金,3.0,230.0
2026-02-04,1948,希利創新_7-11 科有,科有,TV1Q05791,現金,3.0,50.0
2026-02-04,1949,希利創新_7-11 十興,十興,TV1Q05745,現金,1.0,20.0
2026-02-04,1949,希利創新_7-11 十興,十興,TV1Q05745,悠遊卡,1.0,10.0
2026-02-04,1949,希利創新_7-11 十興,十興,TV1Q05747,現金,2.0,30.0
2026-02-04,1949,希利創新_7-11 十興,十興,TV1Q05794,現金,2.0,20.0
2026-02-04,1950,希利創新_7-11 愿橋,愿橋,TV1Q01931,現金,10.0,420.0
2026-02-04,1950,希利創新_7-11 愿橋,愿橋,TV1Q01940,現金,26.0,560.0
2026-02-04,1950,希利創新_7-11 愿橋,愿橋,TV1Q04672,現金,14.0,670.0
2026-02-04,1950,希利創新_7-11 愿橋,愿橋,TV1Q04673,現金,7.0,160.0
2026-02-04,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q01825,現金,8.0,160.0
2026-02-04,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q01887,現金,7.0,120.0
2026-02-04,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q01896,現金,2.0,40.0
2026-02-04,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q04664,現金,6.0,160.0
2026-02-04,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01950,現金,7.0,280.0
2026-02-04,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01974,現金,4.0,50.0
2026-02-04,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01976,現金,15.0,400.0
2026-02-04,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01977,現金,14.0,260.0
2026-02-05,1947,希利創新_7-11 冠亨,冠亨,TV1Q05716,現金,28.0,280.0
2026-02-05,1947,希利創新_7-11 冠亨,冠亨,TV1Q05752,現金,43.0,430.0
2026-02-05,1947,希利創新_7-11 冠亨,冠亨,TV1Q05769,現金,13.0,130.0
2026-02-05,1947,希利創新_7-11 冠亨,冠亨,TV1Q05806,現金,1.0,10.0
2026-02-05,1948,希利創新_7-11 科有,科有,TV1Q05751,現金,55.0,550.0
2026-02-05,1948,希利創新_7-11 科有,科有,TV1Q05758,現金,28.0,280.0
2026-02-05,1948,希利創新_7-11 科有,科有,TV1Q05760,現金,11.0,110.0
